mission_id,,bc_mission_descriptor,bc_mission_name,,odf_cruiseNumber,odf_cruise
18HU15030,,18HU15030,HUD2015030,,HUD2015030,SCOTIAN SHELF AND SLOPE
18VA16666,,18VA16666,BCD2016666,,BCD2016666,Scotian Shelf
18TL16002,,18TL16002,TEL2016002,,TEL2016002,GEORGES BANK
18TL16003,,18TL16003,TEL2016003,,TEL2016003,WESTERN SCOTIAN SHELF
18HU16003,,18HU16003,HUD2016003,,HUD2016003,SCOTIAN SHELF
18HU16006,,18HU16006,HUD2016006,,HUD2016006,AZOMP Labrador Sea and Scotian Slope
18NE16016,,18NE16016,NED2016016,,NED2016016,Scotian Shelf ~ Gulf of Maine
18HU16027,,18HU16027,HUD2016027,,HUD2016027,SCOTIAN SHELF
18VA17666,,18VA17666,BCD2017666,,BCD2017666,Scotian Shelf
18NE17102,,18NE17102,NED2017102,,NED2017102,SCOTIAN SHELF
18NE17002,,18NE17002,NED2017002,,NED2017002,SCOTIAN SHELF
18NE17002,,18NE17002,NED2017002,,TEL2017002,SCOTIAN SHELF
18OL17001,,18OL17001,COR2017001,,COR2017001,SCOTIAN SHELF
18NE17020,,18NE17020,NED2017020,,NED2017020,SCOTIAN SHELF
32EV17606,,32EV17606,EN606,,EN2017606,NORTHWEST ATLANTIC OCEAN ~ SCOTIAN SHELF
18VA18666,,18VA18666,BCD2018666,,BCD2018666,SCOTIAN SHELF
18HU18004,,18HU18004,HUD2018004,,HUD2018004,SCOTIAN SHELF AND SLOPE
18HU18008,,18HU18008,HUD2018008,,HUD2018008,LABRADOR SEA
18TL18023,,18TL18023,TEL2018023,,TEL2018023,SCOTIAN SHELF
18HU18030,,18HU18030,HUD2018030,,HUD2018030,SCOTIAN SHELF
18VA19666,,18VA19666,BCD2019666,,,
18NE19102,,18NE19102,NED2019102,,,
18OL19001,,18OL19001,COR2019001,,,
18DL19001,,18DL19001,AMU2019001,,,
18NE19030,,18NE19030,NED2019030,,,
18VA20666,,18VA20666,BCD2020666,,,
18TL20002,,18TL20002,TEL2020002,,,
18TL20102,,18TL20102,TEL2020102,,,
18NE20025,,18NE20025,NED2020025,,,
18HU20063,,18HU20063,HUD2020063,,,
