"year","station","temperature_in_air"
1975,"Sydney",5.268
1976,"Sydney",5.668
1977,"Sydney",5.852
1978,"Sydney",5.352
1979,"Sydney",6.568
1980,"Sydney",5.06
1981,"Sydney",6.693
1982,"Sydney",5.435
1983,"Sydney",6.785
1984,"Sydney",6.452
1985,"Sydney",4.902
1986,"Sydney",4.843
1987,"Sydney",5.685
1988,"Sydney",5.768
1989,"Sydney",5.402
1990,"Sydney",6.227
1991,"Sydney",5.86
1992,"Sydney",5.068
1993,"Sydney",5.177
1994,"Sydney",5.935
1995,"Sydney",5.993
1996,"Sydney",6.243
1997,"Sydney",5.143
1998,"Sydney",6.96
1999,"Sydney",7.952
2000,"Sydney",6.677
2001,"Sydney",6.752
2002,"Sydney",6.043
2003,"Sydney",6.143
2004,"Sydney",5.902
2005,"Sydney",6.91
2006,"Sydney",7.735
2007,"Sydney",6.035
2008,"Sydney",6.652
2009,"Sydney",6.377
2010,"Sydney",7.652
2011,"Sydney",6.702
2012,"Sydney",7.827
2013,"Sydney",6.677
2014,"Sydney",6.477
2015,"Sydney",5.868
2016,"Sydney",7.2
2017,"Sydney",6.968
2018,"Sydney",6.56
2019,"Sydney",6.052
2020,"Sydney",6.382
1879,"Yarmouth",6.115
1880,"Yarmouth",6.696
1881,"Yarmouth",6.539
1882,"Yarmouth",5.503
1883,"Yarmouth",5.462
1884,"Yarmouth",6.237
1885,"Yarmouth",6.465
1886,"Yarmouth",6.715
1887,"Yarmouth",6.246
1888,"Yarmouth",5.704
1889,"Yarmouth",7.921
1890,"Yarmouth",6.787
1891,"Yarmouth",7.446
1892,"Yarmouth",6.804
1893,"Yarmouth",6.104
1894,"Yarmouth",6.504
1895,"Yarmouth",6.987
1896,"Yarmouth",6.412
1897,"Yarmouth",6.496
1898,"Yarmouth",6.821
1899,"Yarmouth",6.679
1900,"Yarmouth",7.254
1901,"Yarmouth",7.137
1902,"Yarmouth",6.996
1903,"Yarmouth",6.987
1904,"Yarmouth",5.396
1905,"Yarmouth",5.704
1906,"Yarmouth",6.662
1907,"Yarmouth",5.637
1908,"Yarmouth",6.771
1909,"Yarmouth",6.821
1910,"Yarmouth",7.312
1911,"Yarmouth",6.729
1912,"Yarmouth",6.362
1913,"Yarmouth",7.554
1914,"Yarmouth",5.921
1915,"Yarmouth",6.979
1916,"Yarmouth",5.954
1917,"Yarmouth",5.512
1918,"Yarmouth",6.087
1919,"Yarmouth",6.812
1920,"Yarmouth",6.429
1921,"Yarmouth",7.104
1922,"Yarmouth",6.548
1923,"Yarmouth",5.658
1924,"Yarmouth",6.354
1925,"Yarmouth",6.212
1926,"Yarmouth",5.737
1927,"Yarmouth",7.029
1928,"Yarmouth",6.946
1929,"Yarmouth",6.646
1930,"Yarmouth",7.479
1931,"Yarmouth",8.079
1932,"Yarmouth",7.354
1933,"Yarmouth",7.012
1934,"Yarmouth",6.646
1935,"Yarmouth",6.771
1936,"Yarmouth",7.187
1937,"Yarmouth",7.962
1938,"Yarmouth",7.246
1939,"Yarmouth",6.746
1940,"Yarmouth",6.146
1941,"Yarmouth",6.396
1942,"Yarmouth",6.862
1943,"Yarmouth",6.829
1944,"Yarmouth",7.204
1945,"Yarmouth",7.221
1946,"Yarmouth",7.146
1947,"Yarmouth",7.487
1948,"Yarmouth",6.612
1949,"Yarmouth",8.021
1950,"Yarmouth",7.037
1951,"Yarmouth",8.354
1952,"Yarmouth",7.654
1953,"Yarmouth",8.304
1954,"Yarmouth",7.321
1955,"Yarmouth",6.846
1956,"Yarmouth",6.679
1957,"Yarmouth",7.304
1958,"Yarmouth",6.904
1959,"Yarmouth",6.996
1960,"Yarmouth",7.412
1961,"Yarmouth",6.896
1962,"Yarmouth",6.454
1963,"Yarmouth",6.654
1964,"Yarmouth",6.479
1965,"Yarmouth",5.854
1966,"Yarmouth",6.912
1967,"Yarmouth",6.429
1968,"Yarmouth",6.971
1969,"Yarmouth",7.679
1970,"Yarmouth",6.787
1971,"Yarmouth",7.037
1972,"Yarmouth",6.496
1973,"Yarmouth",7.654
1974,"Yarmouth",6.629
1975,"Yarmouth",7.054
1976,"Yarmouth",7.221
1977,"Yarmouth",7.012
1978,"Yarmouth",6.387
1979,"Yarmouth",7.648
1980,"Yarmouth",6.654
1981,"Yarmouth",7.529
1982,"Yarmouth",7.012
1983,"Yarmouth",7.746
1984,"Yarmouth",7.762
1985,"Yarmouth",6.829
1986,"Yarmouth",7.054
1987,"Yarmouth",6.987
1988,"Yarmouth",7.137
1989,"Yarmouth",6.762
1990,"Yarmouth",8.021
1991,"Yarmouth",7.579
1992,"Yarmouth",6.212
1993,"Yarmouth",6.821
1994,"Yarmouth",7.262
1995,"Yarmouth",7.387
1996,"Yarmouth",6.921
1997,"Yarmouth",6.787
1998,"Yarmouth",7.879
1999,"Yarmouth",8.729
2000,"Yarmouth",7.737
2001,"Yarmouth",7.604
2002,"Yarmouth",7.796
2003,"Yarmouth",7.179
2004,"Yarmouth",6.496
2005,"Yarmouth",7.504
2006,"Yarmouth",8.454
2007,"Yarmouth",7.029
2008,"Yarmouth",7.879
2009,"Yarmouth",7.554
2010,"Yarmouth",8.654
2011,"Yarmouth",8.496
2012,"Yarmouth",9.542
2013,"Yarmouth",8.037
2014,"Yarmouth",8.162
2015,"Yarmouth",7.587
2016,"Yarmouth",8.746
2017,"Yarmouth",8.144
2018,"Yarmouth",8.337
2019,"Yarmouth",7.437
2020,"Yarmouth",8.307
