year,month,station,sea_surface_height
1958,12,Halifax,1
1959,1,Halifax,1
1959,2,Halifax,0.9
1959,3,Halifax,0.9
1959,4,Halifax,0.9
1959,5,Halifax,0.8
1959,6,Halifax,0.9
1959,7,Halifax,0.8
1959,8,Halifax,0.9
1959,9,Halifax,0.9
1959,10,Halifax,0.9
1959,11,Halifax,0.9
1959,12,Halifax,1
1960,1,Halifax,1
1960,2,Halifax,1
1960,3,Halifax,1
1960,4,Halifax,0.9
1960,5,Halifax,0.9
1960,6,Halifax,0.9
1960,7,Halifax,0.9
1960,8,Halifax,0.9
1960,9,Halifax,0.9
1960,10,Halifax,1
1960,11,Halifax,0.9
1960,12,Halifax,0.9
1961,1,Halifax,1
1961,2,Halifax,0.9
1961,3,Halifax,1
1961,4,Halifax,1
1961,5,Halifax,0.9
1961,6,Halifax,0.8
1961,7,Halifax,0.9
1961,8,Halifax,0.8
1961,9,Halifax,0.9
1961,10,Halifax,0.9
1961,11,Halifax,1
1961,12,Halifax,1
1962,1,Halifax,0.9
1962,2,Halifax,0.9
1962,3,Halifax,1
1962,4,Halifax,0.9
1962,5,Halifax,0.9
1962,6,Halifax,0.9
1962,7,Halifax,0.9
1962,8,Halifax,0.9
1962,9,Halifax,0.9
1962,10,Halifax,1
1962,11,Halifax,1
1962,12,Halifax,1
1963,1,Halifax,1
1963,2,Halifax,0.9
1963,3,Halifax,0.9
1963,4,Halifax,1
1963,5,Halifax,0.8
1963,6,Halifax,0.9
1963,7,Halifax,0.9
1963,8,Halifax,0.9
1963,9,Halifax,0.9
1963,10,Halifax,0.9
1963,11,Halifax,1
1963,12,Halifax,1
1964,1,Halifax,1
1964,2,Halifax,1
1964,3,Halifax,1
1964,4,Halifax,0.8
1964,5,Halifax,0.9
1964,6,Halifax,0.9
1964,7,Halifax,0.9
1964,8,Halifax,0.9
1964,9,Halifax,0.9
1964,10,Halifax,1
1964,11,Halifax,1
1964,12,Halifax,1
1965,1,Halifax,1
1965,2,Halifax,1
1965,3,Halifax,0.9
1965,4,Halifax,0.9
1965,5,Halifax,0.9
1965,6,Halifax,0.9
1965,7,Halifax,0.9
1965,8,Halifax,0.8
1965,9,Halifax,0.9
1965,10,Halifax,1
1965,11,Halifax,1
1965,12,Halifax,1
1966,1,Halifax,1.1
1966,2,Halifax,1
1966,3,Halifax,0.9
1966,4,Halifax,0.9
1966,5,Halifax,0.9
1966,6,Halifax,0.9
1966,7,Halifax,0.9
1966,8,Halifax,0.9
1966,9,Halifax,1
1966,10,Halifax,0.9
1966,11,Halifax,0.9
1966,12,Halifax,1
1967,1,Halifax,1
1967,2,Halifax,1
1967,3,Halifax,0.9
1967,4,Halifax,1
1967,5,Halifax,0.9
1967,6,Halifax,0.9
1967,7,Halifax,0.9
1967,8,Halifax,0.9
1967,9,Halifax,0.9
1967,10,Halifax,0.9
1967,11,Halifax,1
1967,12,Halifax,1
1968,1,Halifax,1
1968,2,Halifax,1
1968,3,Halifax,0.9
1968,4,Halifax,0.9
1968,5,Halifax,0.9
1968,6,Halifax,0.9
1968,7,Halifax,0.9
1968,8,Halifax,1
1968,9,Halifax,0.9
1968,10,Halifax,1
1968,11,Halifax,1.1
1968,12,Halifax,1.1
1969,1,Halifax,1
1969,2,Halifax,1
1969,3,Halifax,1
1969,4,Halifax,0.9
1969,5,Halifax,0.9
1969,6,Halifax,1
1969,7,Halifax,1
1969,8,Halifax,1
1969,9,Halifax,1
1969,10,Halifax,1
1969,11,Halifax,1
1969,12,Halifax,1.1
1970,1,Halifax,1.1
1970,2,Halifax,1
1970,3,Halifax,1
1970,4,Halifax,1
1970,5,Halifax,0.9
1970,6,Halifax,0.9
1970,7,Halifax,0.9
1970,8,Halifax,1
1970,9,Halifax,1
1970,10,Halifax,1
1970,11,Halifax,1.1
1970,12,Halifax,1.2
1971,1,Halifax,1.1
1971,2,Halifax,1
1971,3,Halifax,1
1971,4,Halifax,1
1971,5,Halifax,1
1971,6,Halifax,1
1971,7,Halifax,0.9
1971,8,Halifax,0.9
1971,9,Halifax,0.9
1971,10,Halifax,1
1971,11,Halifax,1.1
1971,12,Halifax,1
1972,1,Halifax,1
1972,2,Halifax,1
1972,3,Halifax,1
1972,4,Halifax,1
1972,5,Halifax,1
1972,6,Halifax,1
1972,7,Halifax,1
1972,8,Halifax,0.9
1972,9,Halifax,1
1972,10,Halifax,1
1972,11,Halifax,1.1
1972,12,Halifax,1.1
1973,1,Halifax,1.1
1973,2,Halifax,1
1973,3,Halifax,1
1973,4,Halifax,1
1973,5,Halifax,0.9
1973,6,Halifax,0.9
1973,7,Halifax,1
1973,8,Halifax,1
1973,9,Halifax,1
1973,10,Halifax,1
1973,11,Halifax,1
1973,12,Halifax,1
1974,1,Halifax,1.1
1974,2,Halifax,1
1974,3,Halifax,1
1974,4,Halifax,1
1974,5,Halifax,1
1974,6,Halifax,0.9
1974,7,Halifax,1
